State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Illinois,5,D+20,Mike Quigley,D,213992,65134,5,76.70%,23.30%,0.00%,53.30%,46.00%,7.30%,"331,056",84.30%,x
Illinois,6,R+2,Sean Casten,D,169001,146445,0,53.60%,46.40%,0.00%,7.20%,6.80%,0.40%,"355,920",88.60%,x
Illinois,7,D+38,Danny Davis,D,215746,30497,0,87.60%,12.40%,0.00%,75.20%,77.30%,-2.10%,"313,933",78.40%,x
Illinois,8,D+8,Raja Krishnamoorthi,D,130054,67073,0,66.00%,34.00%,0.00%,31.90%,21.60%,10.30%,"257,872",76.40%,x
Illinois,9,D+18,Jan Schakowsky,D,213368,76983,0,73.50%,26.50%,0.00%,47.00%,44.50%,2.50%,"344,539",84.30%,x
Illinois,10,D+10,Brad Schneider,D,156540,82124,0,65.60%,34.40%,0.00%,31.20%,28.90%,2.30%,"293,238",81.40%,x
Illinois,11,D+9,Bill Foster,D,145407,82358,0,63.80%,36.20%,0.00%,27.70%,23.30%,4.40%,"282,906",80.50%,x
Illinois,12,R+5,Mike Bost,R,118724,134884,7935,45.40%,51.60%,3.00%,-6.20%,-14.80%,8.60%,"316,371",82.70%,x
Illinois,13,R+3,Rodney Davis,R,134458,136516,7,49.60%,50.40%,0.00%,-0.80%,-5.30%,4.50%,"324,539",83.50%,x
Illinois,14,R+5,Lauren Underwood,D,156035,141164,0,52.50%,47.50%,0.00%,5.00%,-4.00%,9.00%,"338,514",87.80%,x
Illinois,15,R+21,John Shimkus,R,74309,181294,5,29.10%,70.90%,0.00%,-41.90%,-46.20%,4.30%,"320,524",79.70%,x
Illinois,16,R+8,Adam Kinzinger,R,104569,151254,2,40.90%,59.10%,0.00%,-18.20%,-17.10%,-1.10%,"318,212",80.40%,x
Illinois,17,D+3,Cheri Bustos,D,142659,87090,0,62.10%,37.90%,0.00%,24.20%,-0.70%,24.90%,"283,713",81.00%,x
Illinois,18,R+15,Darin LaHood,R,95486,195927,0,32.80%,67.20%,0.00%,-34.50%,-27.30%,-7.20%,"345,450",84.40%,x
Indiana,1,D+8,Peter Visclosky,D,159611,85594,4,65.10%,34.90%,0.00%,30.20%,12.50%,17.70%,"301,431",81.30%,x
Indiana,2,R+11,Jackie Walorski,R,103363,125499,27,45.20%,54.80%,0.00%,-9.70%,-23.00%,13.30%,"277,734",82.40%,x
Indiana,3,R+18,Jim Banks,R,86610,158927,0,35.30%,64.70%,0.00%,-29.50%,-34.80%,5.30%,"292,911",83.80%,x
Indiana,4,R+17,Jim Baird,R,87824,156539,0,35.90%,64.10%,0.00%,-28.10%,-33.90%,5.80%,"304,049",80.40%,x
Indiana,5,R+9,Susan Brooks,R,137142,180035,0,43.20%,56.80%,0.00%,-13.50%,-11.70%,-1.80%,"366,635",86.50%,x
Indiana,6,R+18,Greg Pence,R,79430,154260,8036,32.90%,63.80%,3.30%,-31.00%,-40.20%,9.20%,"302,405",88.50%,x
Indiana,7,D+11,Andre Carson,D,141139,76457,233,64.80%,35.10%,0.10%,29.70%,22.50%,7.20%,"268,048",81.30%,x
Indiana,8,R+15,Larry Bucshon,R,86895,157396,0,35.60%,64.40%,0.00%,-28.90%,-33.60%,4.70%,"301,334",81.10%,x
Indiana,9,R+13,Trey Hollingsworth,R,118090,153271,0,43.50%,56.50%,0.00%,-13.00%,-26.80%,13.80%,"326,098",83.20%,x
Iowa,1,D+1,Abby Finkenauer,D,170342,153442,10459,51.00%,45.90%,3.10%,5.10%,-3.50%,8.60%,"395,633",84.50%,x
Iowa,2,D+1,Dave Loebsack,D,171446,133287,8180,54.80%,42.60%,2.60%,12.20%,-4.10%,16.30%,"384,495",81.40%,x
Iowa,3,R+1,Cindy Axne,D,175642,167933,12666,49.30%,47.10%,3.60%,2.20%,-3.50%,5.70%,"402,164",88.60%,x
Iowa,4,R+11,Steve King,R,147246,157676,8329,47.00%,50.30%,2.70%,-3.30%,-27.10%,23.80%,"383,739",81.60%,x
Kansas,1,R+24,Roger Marshall,R,71558,153082,0,31.90%,68.10%,0.00%,-36.30%,-44.80%,8.50%,"265,883",84.50%,x
Kansas,2,R+10,Steve Watkins,R,123859,126098,14731,46.80%,47.60%,5.60%,-0.80%,-18.30%,17.50%,"296,810",89.20%,x
Kansas,3,R+4,Sharice Davids,D,170518,139762,8021,53.60%,43.90%,2.50%,9.70%,1.20%,8.50%,"344,468",92.40%,x
Kansas,4,R+15,Ron Estes,R,98445,144248,0,40.60%,59.40%,0.00%,-18.90%,-27.00%,8.10%,"276,300",87.80%,x
Kentucky,1,R+23,James Comer,R,78849,172167,0,31.40%,68.60%,0.00%,-37.20%,-48.50%,11.30%,"310,384",80.90%,x
Kentucky,2,R+19,Brett Guthrie,R,79964,171700,5681,31.10%,66.70%,2.20%,-35.60%,-39.90%,4.30%,"324,647",79.30%,x
Kentucky,3,D+6,John Yarmuth,D,173002,101930,3788,62.10%,36.60%,1.40%,25.50%,14.90%,10.60%,"340,045",82.00%,x
Kentucky,4,R+18,Thomas Massie,R,90536,162946,8330,34.60%,62.20%,3.20%,-27.70%,-35.90%,8.20%,"337,433",77.60%,x
Kentucky,5,R+31,Hal Rogers,R,45890,172093,34,21.00%,78.90%,0.00%,-57.90%,-62.10%,4.20%,"278,451",78.30%,x
Kentucky,6,R+9,Andy Barr,R,144736,154468,3684,47.80%,51.00%,1.20%,-3.20%,-15.30%,12.10%,"333,174",90.90%,x
Louisiana,1,R+24,Steve Scalise,R,71521,192555,5249,26.60%,71.50%,1.90%,-44.90%,-42.20%,-2.70%,"354,783",75.90%,x
Louisiana,2,D+25,Cedric Richmond,D,190182,0,45800,80.60%,0.00%,19.40%,80.60%,52.70%,N/A,"329,648",71.60%,x
Louisiana,3,R+20,Clay Higgins,R,74713,168263,2967,30.40%,68.40%,1.20%,-38.00%,-38.10%,0.10%,"343,017",71.70%,x
Louisiana,4,R+13,Mike Johnson,R,72934,139326,4612,33.60%,64.20%,2.10%,-30.60%,-24.00%,-6.60%,"318,392",68.10%,x
Louisiana,5,R+15,Ralph Abraham,R,67118,149018,7810,30.00%,66.50%,3.50%,-36.60%,-29.40%,-7.20%,"323,222",69.30%,x
Louisiana,6,R+19,Garret Graves,R,76716,186553,5256,28.60%,69.50%,2.00%,-40.90%,-34.10%,-6.80%,"353,229",76.00%,x
Maine,1,D+8,Chellie Pingree,D,201195,111188,29670,58.80%,32.50%,8.70%,26.30%,14.80%,11.50%,"394,329",86.70%,x
Maine,2,R+2,Jared Golden,D,142440,138931,0,50.60%,49.40%,0.00%,1.20%,-10.30%,11.50%,"353,416",79.60%,x
